requested_expiry,local_symbol,conid,date,open,high,low,close,volume
202610,IV6,873309581,2026-04-14,97.32,97.38,97.315,97.38,40.0
202610,IV6,873309581,2026-04-15,97.405,97.405,97.38,97.38,4.0
202610,IV6,873309581,2026-04-16,97.44,97.45,97.415,97.415,56.0
202610,IV6,873309581,2026-04-17,97.41,97.53,97.41,97.53,1.0
202610,IV6,873309581,2026-04-20,97.475,97.49,97.46,97.485,33.0
202610,IV6,873309581,2026-04-21,97.485,97.495,97.41,97.43,67.0
202610,IV6,873309581,2026-04-22,97.425,97.425,97.37,97.38,51.0
202610,IV6,873309581,2026-04-23,97.365,97.38,97.36,97.37,72.0
202610,IV6,873309581,2026-04-24,97.315,97.37,97.31,97.36,42.0
202610,IV6,873309581,2026-04-27,97.36,97.36,97.355,97.355,1.0
202610,IV6,873309581,2026-04-28,97.345,97.345,97.24,97.27,73.0
202610,IV6,873309581,2026-04-29,97.225,97.225,97.18,97.19,66.0
202610,IV6,873309581,2026-04-30,97.135,97.245,97.135,97.245,85.0
202610,IV6,873309581,2026-05-04,97.205,97.21,97.195,97.195,71.0
202610,IV6,873309581,2026-05-05,97.195,97.22,97.19,97.22,44.0
202610,IV6,873309581,2026-05-06,97.345,97.4,97.33,97.355,66.0
202610,IV6,873309581,2026-05-07,97.375,97.39,97.34,97.355,63.0
202610,IV6,873309581,2026-05-08,97.32,97.345,97.305,97.33,31.0
202610,IV6,873309581,2026-05-11,97.29,97.29,97.265,97.28,63.0
202610,IV6,873309581,2026-05-12,97.25,97.25,97.235,97.24,106.0
202610,IV6,873309581,2026-05-13,97.265,97.28,97.245,97.25,33.0
202610,IV6,873309581,2026-05-14,97.28,97.3,97.265,97.3,72.0
202610,IV6,873309581,2026-05-15,97.26,97.26,97.25,97.25,48.0
202610,IV6,873309581,2026-05-18,97.25,97.305,97.245,97.27,57.0
202610,IV6,873309581,2026-05-19,97.305,97.305,97.26,97.27,17.0
202610,IV6,873309581,2026-05-20,97.295,97.345,97.28,97.33,63.0
202610,IV6,873309581,2026-05-21,97.355,97.39,97.31,97.315,194.0
202610,IV6,873309581,2026-05-22,97.355,97.375,97.345,97.35,103.0
202610,IV6,873309581,2026-05-25,97.43,97.46,97.43,97.46,36.0
